,Title,Popularity,Drama,Comedy,Thriller,Action,Romance,Adventure,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,Music,War,Documentary,Western,Foreign,Quirky,Cerebral,Fast-Paced,Epic,Historical,Heartwarming,Creative,Independent,Tense,Realistic,Funny,New Release,Critically Acclaimed
0,Avatar,150,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-1.0,1.0,3.0,6.0,-5.0,-1.0,1.0,-2.0,1.0,-2.0,0.0,0.0,0.0
1,Pirates of the Caribbean: At World's End,139,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,0.0,2.0,0.0,1.0,0.25,-2.0,0.0,-1.25,0.0,0.0,0.0
2,Spectre,107,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,2.0,0.0
3,The Dark Knight Rises,112,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,4.0,3.0,-3.0,0.0,-1.0,-2.0,1.0,-0.75,0.0,1.0,1.5
4,John Carter,43,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,2.0,3.0,-3.0,-1.0,1.0,-2.0,2.0,-3.0,0.0,1.0,0.0
5,Spider-Man 3,115,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,5.0,4.0,-3.0,0.0,0.0,-3.0,1.0,-2.0,0.0,0.0,0.0
6,Tangled,48,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,-1.0,2.0,-2.0,1.0,2.0,-2.0,1.0,-2.0,0.0,1.0,0.0
7,Avengers: Age of Ultron,134,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,6.25,4.0,-3.0,0.0,0.0,-4.0,-1.0,-5.0,1.0,2.0,-1.0
8,Harry Potter and the Half-Blood Prince,98,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,1.0,-3.0,0.0,0.0,0.0
9,Batman v Superman: Dawn of Justice,155,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,5.0,3.0,-3.0,-1.0,0.0,-3.0,0.0,-3.0,1.0,2.0,-1.0
10,Superman Returns,57,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,5.0,5.0,-3.0,0.0,0.0,-4.0,-1.0,-4.0,1.0,0.0,-1.0
11,Quantum of Solace,107,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
12,Pirates of the Caribbean: Dead Man's Chest,145,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,1.0,2.0,0.0,0.0,0.25,-2.0,3.0,-2.25,0.0,0.0,0.0
13,The Lone Ranger,49,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.5,0.0,1.0,1.0,0.0,0.0,0.25,-2.0,1.0,-0.25,0.0,1.0,0.0
14,Man of Steel,99,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,5.0,4.0,-3.0,0.0,0.0,-3.0,-1.0,-4.0,1.0,1.0,-1.0
15,The Chronicles of Narnia: Prince Caspian,53,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.25,0.0,0.0,0.0
16,The Avengers,144,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,6.25,3.0,-3.0,0.0,0.0,-3.0,-1.0,-5.0,1.0,1.0,-1.0
17,Pirates of the Caribbean: On Stranger Tides,135,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.5,0.0,2.0,4.0,1.0,0.0,0.25,-2.0,0.0,-1.25,0.0,1.0,0.0
18,Men in Black 3,52,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,2.0,3.0,-2.0,-1.0,1.0,-2.0,1.0,-4.0,0.5,1.0,-0.25
19,The Hobbit: The Battle of the Five Armies,120,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,1.0,1.0,1.0,-1.0,0.0,-2.0,0.0,2.0,0.0,2.0,0.0
20,The Amazing Spider-Man,89,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,-2.0,0.0,-1.0,0.0,1.0,0.0
21,Robin Hood,37,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
22,The Hobbit: The Desolation of Smaug,94,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,1.0
23,The Golden Compass,42,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
24,King Kong,61,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,-2.0,2.0,-1.0,0.25,0.0,-0.25
25,Titanic,100,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,-2.0,0.0,-1.0,0.0,0.0,1.0
26,Captain America: Civil War,198,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,7.0,5.0,-2.0,0.0,0.0,-4.0,-1.0,-5.0,1.25,2.0,-1.0
27,Battleship,64,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.25,0.0,1.0,0.0
28,Jurassic World,200,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,4.0,1.0,0.0,-1.0,0.0,-2.0,5.0,0.0,0.0,2.0,0.0
29,Skyfall,93,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
30,Spider-Man 2,35,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.0,-1.0,4.0,4.0,-3.0,1.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0
31,Iron Man 3,77,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,7.0,3.0,-3.0,0.0,-1.0,-3.0,0.0,-4.0,1.0,1.0,-1.0
32,Alice in Wonderland,78,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.5,0.0,0.0,1.0,0.0,0.0,0.25,-2.0,0.0,-0.75,0.0,1.0,0.0
33,X-Men: The Last Stand,3,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,-3.0,-1.0,-3.0,1.0,0.0,-1.0
34,Monsters University,89,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,2.0,0.0,0.75,1.0,-0.25
35,Transformers: Revenge of the Fallen,21,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
36,Transformers: Age of Extinction,116,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.0,-0.5,1.5,4.0,-3.0,-1.0,1.0,-3.0,1.0,-3.0,0.0,2.0,0.0
37,Oz: The Great and Powerful,46,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,-2.0,0.0,1.0,-2.0,1.0,-3.0,0.0,1.0,0.0
38,The Amazing Spider-Man 2,89,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-1.0,1.0,4.0,2.0,0.0,0.0,0.0,-4.0,0.0,-3.0,1.0,2.0,-1.0
39,TRON: Legacy,73,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0,1.0,-3.0,-2.0,0.0,-1.0,0.0,-2.0,0.0,1.0,0.0
40,Cars 2,49,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,-1.0,0.0,0.0,2.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.25,1.0,0.0
41,Green Lantern,51,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,3.0,5.0,-6.0,-1.0,1.0,-2.0,1.0,-5.0,0.0,1.0,0.0
42,Toy Story 3,59,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-2.0,2.0,0.0,0.0,1.0,1.0
43,Terminator Salvation,71,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,3.0,3.0,-3.0,-2.0,0.0,-2.0,0.0,-4.0,0.0,0.0,0.0
44,Furious 7,102,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3.0,1.0,0.0,-2.0,0.0,-2.0,3.0,1.0,0.0,2.0,0.0
45,World War Z,81,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0,2.0,-3.0,-2.0,0.0,-2.0,2.0,-3.0,0.0,1.0,0.25
46,X-Men: Days of Future Past,118,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,1.0,5.0,1.0,4.0,0.0,0.0,-3.0,-1.0,-3.0,1.0,2.0,0.0
47,Star Trek Into Darkness,78,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,4.0,-3.0,1.0,1.0,-3.0,1.0,-3.0,1.5,1.0,-0.25
48,Jack the Giant Slayer,43,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
49,The Great Gatsby,61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,1.0,0.0
50,Prince of Persia: The Sands of Time,62,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
51,Pacific Rim,56,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,2.0,-3.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,1.0,0.0
52,Transformers: Dark of the Moon,28,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,0.5,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
53,Indiana Jones and the Kingdom of the Crystal Skull,75,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.5,0.0,1.0,3.0,0.0,0.0,0.5,-3.0,0.0,0.0,0.0,0.0,0.5
54,The Good Dinosaur,51,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,-2.0,0.0,0.0,0.0,2.0,0.0
55,Brave,125,0,1,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
56,Star Trek Beyond,65,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,2.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,2.0,0.0
57,WALL·E,66,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-2.0,0.0,0.0,2.0,0.0,1.0
58,Rush Hour 3,22,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
59,2012,45,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
60,A Christmas Carol,39,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-2.0,1.0,0.0,0.0,0.0,0.0
61,Jupiter Ascending,85,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0
62,The Legend of Tarzan,42,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",67,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,-2.0,1.0,-0.75,0.0,0.0,0.0
64,X-Men: Apocalypse,139,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,6.0,3.0,-3.0,0.0,0.0,-3.0,-1.0,-5.0,1.0,2.0,-1.0
65,The Dark Knight,187,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,5.0,3.0,-3.0,0.0,0.0,-3.0,-1.0,-4.0,1.0,0.0,0.5
66,Up,92,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,1.0
67,Monsters vs Aliens,36,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,-1.0,0.0,1.0,3.0,-3.0,-1.0,1.0,-2.0,1.0,-3.0,0.25,0.0,0.0
68,Iron Man,120,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,6.25,2.0,-3.0,0.0,0.0,-2.0,-1.0,-5.0,1.0,0.0,-1.0
69,Hugo,32,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.5,2.0,0.0,-1.0,0.0,0.5,0.0,1.0,0.0
70,Wild Wild West,40,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
71,The Mummy: Tomb of the Dragon Emperor,60,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
72,Suicide Squad,90,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,2.0,3.0,-3.0,0.0,0.0,-2.0,0.0,-2.0,0.0,2.0,0.0
73,Evan Almighty,27,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0
74,Edge of Tomorrow,79,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.0,0.0,3.0,6.0,-4.0,-3.0,1.0,-2.0,1.0,-5.0,0.0,2.0,1.0
75,Waterworld,44,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,2.0,-3.0,-2.0,0.0,-2.0,0.0,-2.0,0.25,0.0,-0.25
76,G.I. Joe: The Rise of Cobra,32,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1.0,4.0,1.0,0.0,-1.0,-1.0,-2.0,3.0,2.0,0.0,0.0,0.0
77,Inside Out,128,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,-2.0,-1.0,0.0,1.5,2.0,0.75
78,The Jungle Book,94,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.25,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.25,2.0,0.25
79,Iron Man 2,77,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,-1.0,7.25,3.0,-3.0,-1.0,0.0,-3.0,0.0,-4.0,1.0,1.0,-1.0
80,Snow White and the Huntsman,77,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,-1.0,0.0,-2.0,0.0,1.0,0.0
81,Maleficent,110,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.0
82,Dawn of the Planet of the Apes,200,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-2.0,0.0,1.0,2.0,-3.0,-2.0,0.0,-2.0,0.0,-4.0,0.0,2.0,0.0
83,The Lovers,2,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
84,47 Ronin,41,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,1.0,-1.0,1.0,0.0
85,Captain America: The Winter Soldier,72,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,6.25,3.0,-6.0,0.0,0.0,-2.0,-1.0,-4.0,1.0,2.0,0.0
86,Shrek Forever After,44,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
87,Tomorrowland,130,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,2.0,0.25
88,Big Hero 6,200,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,2.0,1.0
89,Wreck-It Ralph,62,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0
90,The Polar Express,47,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
91,Independence Day: Resurgence,48,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,2.0,0.0
92,How to Train Your Dragon,67,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,-1.0,0.0,-1.0,1.0,1.0,1.0
93,Terminator 3: Rise of the Machines,69,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,1.0,3.0,-3.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,0.0,0.0
94,Guardians of the Galaxy,200,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,2.0,1.0
95,Interstellar,200,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.5,2.0,1.0,-3.0,0.0,0.0,-1.0,0.0,-2.0,0.0,2.0,1.75
96,Inception,167,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0.0,0.5,2.0,0.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.5
97,Shin Godzilla,9,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
98,The Hobbit: An Unexpected Journey,108,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,1.0,0.0
99,The Fast and the Furious,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,The Curious Case of Benjamin Button,60,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.25
101,X-Men: First Class,3,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-1.0,8.0,2.0,-2.0,0.0,0.0,-2.0,-1.0,-5.0,1.0,1.0,-1.0
102,The Hunger Games: Mockingjay - Part 2,127,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,0.0,1.0,-3.0,-2.0,0.0,-1.0,0.0,-2.0,0.0,2.0,0.0
103,The Sorcerer's Apprentice,35,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,1.0,-2.0,2.0,1.0,-1.0,1.0,-3.25,0.0,1.0,0.0
104,Poseidon,21,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,0.0,0.0,0.0
105,Alice Through the Looking Glass,56,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-0.5,0.0,0.0,1.0,0.0,0.0,0.25,-2.0,0.0,-0.25,0.0,2.0,0.0
106,Shrek the Third,42,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
107,Warcraft,63,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,4.0,1.0,-2.0,0.0,1.0,-2.0,-1.0,-4.0,1.0,2.0,-1.0
108,Terminator Genisys,200,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.0,2.0,2.0,4.0,-5.0,-2.0,0.0,-2.0,0.0,-2.0,0.0,2.0,0.0
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,49,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,-1.0,0.0,-1.75,0.0,1.0,0.0
110,Pearl Harbor,34,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1.0,-0.5,3.5,2.0,2.0,2.0,0.0,-1.0,0.0,2.0,0.0,0.0,0.0
111,Transformers,25,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,-0.5,1.5,2.0,-3.0,-1.0,1.0,-1.0,1.0,-3.0,0.0,0.0,0.0
112,Alexander,39,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-0.5,0.0,0.0
113,Harry Potter and the Order of the Phoenix,78,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,-1.0,2.0,-3.0,-1.0,0.0,0.0
114,Harry Potter and the Goblet of Fire,101,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.0,0.0,-1.0,1.0,-3.0,0.0,1.0,-1.0,1.0,-2.0,-1.0,0.0,1.0
115,Hancock,56,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,2.0,2.0,-3.0,1.0,0.0,-1.0,0.0,-2.0,0.0,0.0,0.0
116,I Am Legend,70,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1.0,0.0,2.0,2.0,-3.0,-2.0,0.0,-1.0,0.0,-4.0,0.0,0.0,0.0
117,Charlie and the Chocolate Factory,53,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1.5,0.0,0.0,0.0,0.0,4.0,0.25,-1.0,0.0,-0.75,0.0,0.0,0.0
118,Ratatouille,65,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1.0,0.0,0.0,-1.0,0.0,2.0,1.0,-1.0,-1.0,0.0,1.0,0.0,1.0
119,Batman Begins,115,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.5,7.0,2.0,-3.0,0.0,0.0,-2.0,-1.0,-2.75,1.0,0.0,0.5
120,Madagascar: Escape 2 Africa,44,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,-1.0,0.0,0.0,1.0,-2.0,0.0,0.0,-2.0,0.0,1.0,0.0,0.0,0.0
121,Night at the Museum: Battle of the Smithsonian,81,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.75,0.0,-0.25
122,X-Men Origins: Wolverine,5,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,5.0,1.0,-2.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0
123,The Matrix Revolutions,73,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,3.0,2.0,-6.0,-2.0,0.0,-1.0,1.0,-1.0,-1.0,0.0,0.0
124,Frozen,165,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0
125,The Matrix Reloaded,70,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,4.0,3.0,-6.0,-2.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0
126,Thor: The Dark World,99,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,6.0,2.0,-3.0,0.0,0.0,-2.0,-1.0,-5.0,1.0,1.0,-1.0
127,Mad Max: Fury Road,200,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-1.0,1.0,4.0,0.0,-5.0,-2.0,0.0,-1.0,1.0,-2.0,-1.0,2.0,0.0
128,Angels & Demons,67,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0
129,Thor,86,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0.0,-1.0,6.25,2.0,-3.0,0.0,0.0,-2.0,-1.0,-5.0,1.0,1.0,-1.0
130,Bolt,41,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
131,G-Force,26,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.25,0.25,0.0,0.0
132,Wrath of the Titans,44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.25,0.0,1.0,0.0
