,Title,Popularity,Drama,Comedy,Thriller,Action,Romance,Adventure,Science Fiction,Horror,Family,Fantasy,Mystery,Animation,Music,War,Documentary,Western,Foreign,Quirky,Cerebral,Fast-Paced,Epic,Historical,Heartwarming,Creative,Independent,Tense,Realistic,Funny,New Release,Critically Acclaimed
2529,The Queen,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0
2530,Beetlejuice,58,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.5,0.0,0.0,0.0
2531,Why Did I Get Married?,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2532,Little Women,16,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2533,The Woman in Black,43,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,1.0,2.0,0.0,0.0,-1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0
2534,When a Stranger Calls,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2535,Big Fat Liar,9,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2536,The Deer Hunter,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.25,0.0,0.0,1.25
2537,Wag the Dog,13,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,0.0,4.0,1.0,4.0,-1.0,0.0,0.0,1.0,-0.75,0.0,0.0,0.25
2538,The Lizzie McGuire Movie,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2539,Snitch,30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2540,Krampus,31,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.0,1.0,0.0,-1.0,0.0,2.0,1.0,0.0,-1.0,0.0,1.0,2.0,0.0
2541,The Faculty,21,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1.0,-0.5,0.5,-1.0,-4.0,1.0,2.0,0.0,1.0,-2.0,0.0,0.0,-0.5
2542,What's Love Got to Do with It,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2543,Cop Land,19,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0,2.0,2.0,-2.0,1.0,-3.0,0.0,3.0,3.0,4.25,-1.0,0.0,1.25
2544,Not Another Teen Movie,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.0,-1.0,-2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2545,End of Watch,49,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2546,The Skulls,11,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2547,The Theory of Everything,61,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,-1.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0
